record_id,region,category_title,videos_count,date
377,France,Comedy,34,24/05/2018
378,France,Comedy,38,25/05/2018
379,France,Comedy,38,26/05/2018
380,France,Comedy,40,27/05/2018
381,France,Comedy,56,28/05/2018
382,France,Comedy,48,29/05/2018
383,France,Comedy,36,30/05/2018
384,France,Comedy,50,31/05/2018
385,France,Comedy,38,01/06/2018
386,France,Comedy,36,02/06/2018
387,France,Comedy,24,03/06/2018
388,France,Comedy,40,04/06/2018
389,France,Comedy,40,05/06/2018
390,France,Comedy,28,06/06/2018
391,France,Comedy,38,07/06/2018
392,France,Comedy,34,08/06/2018
393,France,Comedy,40,09/06/2018
394,France,Comedy,30,10/06/2018
395,France,Comedy,40,11/06/2018
396,France,Comedy,52,12/06/2018
397,France,Comedy,48,13/06/2018
398,France,Comedy,36,14/06/2018
399,France,Education,12,14/11/2017
400,France,Education,4,15/11/2017
401,France,Education,8,16/11/2017
402,France,Education,8,17/11/2017
403,France,Education,2,18/11/2017
404,France,Education,8,19/11/2017
405,France,Education,4,20/11/2017
406,France,Education,10,21/11/2017
407,France,Education,12,22/11/2017
408,France,Education,10,23/11/2017
409,France,Education,8,24/11/2017
410,France,Education,10,25/11/2017
411,France,Education,6,26/11/2017
412,France,Education,8,27/11/2017
413,France,Education,4,28/11/2017
414,France,Education,10,29/11/2017
415,France,Education,6,30/11/2017
416,France,Education,12,01/12/2017
417,France,Education,14,02/12/2017
418,France,Education,6,03/12/2017
419,France,Education,18,04/12/2017
420,France,Education,6,05/12/2017
421,France,Education,6,06/12/2017
422,France,Education,6,07/12/2017
423,France,Education,8,08/12/2017
424,France,Education,8,09/12/2017
425,France,Education,8,10/12/2017
426,France,Education,4,11/12/2017
427,France,Education,4,12/12/2017
428,France,Education,4,13/12/2017
429,France,Education,8,14/12/2017
430,France,Education,12,15/12/2017
431,France,Education,2,16/12/2017
432,France,Education,6,17/12/2017
433,France,Education,8,18/12/2017
434,France,Education,8,19/12/2017
435,France,Education,4,20/12/2017
436,France,Education,12,21/12/2017
437,France,Education,12,22/12/2017
438,France,Education,6,23/12/2017
439,France,Education,6,24/12/2017
440,France,Education,6,25/12/2017
441,France,Education,12,26/12/2017
442,France,Education,10,27/12/2017
443,France,Education,6,28/12/2017
444,France,Education,4,29/12/2017
445,France,Education,6,30/12/2017
446,France,Education,12,31/12/2017
447,France,Education,6,01/01/2018
448,France,Education,10,02/01/2018
449,France,Education,8,03/01/2018
450,France,Education,2,04/01/2018
451,France,Education,2,05/01/2018
452,France,Education,4,06/01/2018
453,France,Education,6,07/01/2018
454,France,Education,10,08/01/2018
455,France,Education,2,09/01/2018
456,France,Education,10,12/01/2018
457,France,Education,6,13/01/2018
458,France,Education,2,14/01/2018
459,France,Education,16,15/01/2018
460,France,Education,8,16/01/2018
461,France,Education,8,17/01/2018
462,France,Education,4,18/01/2018
463,France,Education,6,19/01/2018
464,France,Education,6,20/01/2018
465,France,Education,2,21/01/2018
466,France,Education,6,22/01/2018
467,France,Education,10,23/01/2018
468,France,Education,4,24/01/2018
469,France,Education,10,25/01/2018
470,France,Education,10,26/01/2018
471,France,Education,6,27/01/2018
472,France,Education,2,28/01/2018
473,France,Education,6,29/01/2018
474,France,Education,8,30/01/2018
475,France,Education,12,31/01/2018
476,France,Education,10,01/02/2018
477,France,Education,8,02/02/2018
478,France,Education,4,03/02/2018
479,France,Education,6,04/02/2018
480,France,Education,6,05/02/2018
481,France,Education,8,06/02/2018
482,France,Education,10,07/02/2018
483,France,Education,6,08/02/2018
484,France,Education,14,09/02/2018
485,France,Education,6,10/02/2018
486,France,Education,10,11/02/2018
487,France,Education,8,12/02/2018
488,France,Education,10,13/02/2018
489,France,Education,4,14/02/2018
490,France,Education,12,15/02/2018
491,France,Education,8,16/02/2018
492,France,Education,6,17/02/2018
493,France,Education,2,18/02/2018
494,France,Education,10,19/02/2018
495,France,Education,6,20/02/2018
496,France,Education,4,21/02/2018
497,France,Education,6,22/02/2018
498,France,Education,2,23/02/2018
499,France,Education,8,24/02/2018
500,France,Education,4,25/02/2018
501,France,Education,6,26/02/2018
502,France,Education,4,27/02/2018
503,France,Education,10,28/02/2018
504,France,Education,8,01/03/2018
505,France,Education,12,02/03/2018
506,France,Education,6,03/03/2018
507,France,Education,4,04/03/2018
508,France,Education,2,05/03/2018
509,France,Education,8,06/03/2018
510,France,Education,6,07/03/2018
511,France,Education,6,08/03/2018
512,France,Education,12,09/03/2018
513,France,Education,6,10/03/2018
514,France,Education,10,12/03/2018
515,France,Education,2,13/03/2018
516,France,Education,2,14/03/2018
517,France,Education,8,15/03/2018
518,France,Education,14,16/03/2018
519,France,Education,16,17/03/2018
520,France,Education,4,18/03/2018
521,France,Education,12,19/03/2018
522,France,Education,4,20/03/2018
523,France,Education,2,22/03/2018
524,France,Education,8,23/03/2018
525,France,Education,8,24/03/2018
526,France,Education,6,25/03/2018
527,France,Education,8,26/03/2018
528,France,Education,4,27/03/2018
529,France,Education,10,28/03/2018
530,France,Education,8,29/03/2018
531,France,Education,6,30/03/2018
532,France,Education,8,31/03/2018
533,France,Education,4,01/04/2018
534,France,Education,6,02/04/2018
535,France,Education,4,03/04/2018
536,France,Education,6,04/04/2018
